brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description,type,warranty,features,safety_features,tech_features,comfort_features,dealer_location,availability,delivery_time
Rolls-Royce,Unknown Model,2024,"$539,767",0 km,Plug-in Hybrid,Automatic,3.5L,Yellow,https://www.contactcars.com/en/new-cars/rolls-royce/unknown-model-2024,"Brand new 2024 Rolls-Royce Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Blind Spot Monitoring, 360-Degree Camera, Forward Collision Warning, Ambient Lighting, Android Auto, Satellite Navigation, Premium Sound System, Apple CarPlay, Gesture Control, Keyless Entry, Push-Button Start, Auto-Dimming Mirrors, Memory Seats, Rain-Sensing Wipers, Power Windows, Ventilated Seats","Blind Spot Monitoring, 360-Degree Camera, Forward Collision Warning","Ambient Lighting, Android Auto, Satellite Navigation, Premium Sound System, Apple CarPlay, Gesture Control","Keyless Entry, Push-Button Start, Auto-Dimming Mirrors, Memory Seats, Rain-Sensing Wipers, Power Windows, Ventilated Seats",ContactCars Rolls-Royce Showroom,Available for Order,4-8 weeks
Citroen,Unknown Model,2024,"$120,448",0 km,Gasoline,CVT,1.1L,Orange,https://www.contactcars.com/en/new-cars/citroen/unknown-model-2024,"Brand new 2024 Citroen Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Adaptive Cruise Control, 360-Degree Camera, Rear Cross Traffic Alert, Lane Departure Warning, USB-C Ports, Bluetooth Connectivity, Satellite Navigation, Digital Instrument Cluster, Gesture Control, Apple CarPlay, Wireless Smartphone Integration, Android Auto, Wi-Fi Hotspot, Heated Steering Wheel, Power Mirrors, Remote Start, Auto-Dimming Mirrors, Ventilated Seats","Adaptive Cruise Control, 360-Degree Camera, Rear Cross Traffic Alert, Lane Departure Warning","USB-C Ports, Bluetooth Connectivity, Satellite Navigation, Digital Instrument Cluster, Gesture Control, Apple CarPlay, Wireless Smartphone Integration, Android Auto, Wi-Fi Hotspot","Heated Steering Wheel, Power Mirrors, Remote Start, Auto-Dimming Mirrors, Ventilated Seats",ContactCars Citroen Showroom,Coming Soon,Immediate
Smart,Unknown Model,2024,"$76,053",0 km,Hydrogen,CVT,1.0L,Red,https://www.contactcars.com/en/new-cars/smart/unknown-model-2024,"Brand new 2024 Smart Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Forward Collision Warning, Blind Spot Monitoring, Parking Sensors, Anti-lock Braking System, Electronic Stability Control, Wireless Charging, Ambient Lighting, Android Auto, Apple CarPlay, Digital Instrument Cluster, Wi-Fi Hotspot, Head-Up Display, USB-C Ports, Push-Button Start, Heated Seats, Remote Start, Climate Control, Power Mirrors, Power Windows, Memory Seats, Power Seats","Forward Collision Warning, Blind Spot Monitoring, Parking Sensors, Anti-lock Braking System, Electronic Stability Control","Wireless Charging, Ambient Lighting, Android Auto, Apple CarPlay, Digital Instrument Cluster, Wi-Fi Hotspot, Head-Up Display, USB-C Ports","Push-Button Start, Heated Seats, Remote Start, Climate Control, Power Mirrors, Power Windows, Memory Seats, Power Seats",ContactCars Smart Showroom,Coming Soon,1-2 weeks
Chevrolet,Silverado,2024,"$44,525",0 km,Electric,Manual,55 kWh Battery,White,https://www.contactcars.com/en/new-cars/chevrolet/silverado-2024,"Brand new 2024 Chevrolet Silverado. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Adaptive Cruise Control, Parking Sensors, Blind Spot Monitoring, Lane Departure Warning, Tire Pressure Monitoring, Apple CarPlay, Panoramic Sunroof, Satellite Navigation, Ambient Lighting, Wireless Smartphone Integration, Wi-Fi Hotspot, Heated Seats, Rain-Sensing Wipers, Ventilated Seats, Remote Start, Power Mirrors, Keyless Entry, Power Seats, Dual-Zone Climate","Adaptive Cruise Control, Parking Sensors, Blind Spot Monitoring, Lane Departure Warning, Tire Pressure Monitoring","Apple CarPlay, Panoramic Sunroof, Satellite Navigation, Ambient Lighting, Wireless Smartphone Integration, Wi-Fi Hotspot","Heated Seats, Rain-Sensing Wipers, Ventilated Seats, Remote Start, Power Mirrors, Keyless Entry, Power Seats, Dual-Zone Climate",ContactCars Chevrolet Showroom,Available for Order,4-8 weeks
Mini,Unknown Model,2024,"$65,342",0 km,Gasoline,CVT,3.8L,Blue,https://www.contactcars.com/en/new-cars/mini/unknown-model-2024,"Brand new 2024 Mini Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Forward Collision Warning, Tire Pressure Monitoring, Lane Departure Warning, Anti-lock Braking System, Electronic Stability Control, Parking Sensors, Satellite Navigation, Premium Sound System, Voice Recognition, Ambient Lighting, Heated Steering Wheel, Rain-Sensing Wipers, Ventilated Seats","Forward Collision Warning, Tire Pressure Monitoring, Lane Departure Warning, Anti-lock Braking System, Electronic Stability Control, Parking Sensors","Satellite Navigation, Premium Sound System, Voice Recognition, Ambient Lighting","Heated Steering Wheel, Rain-Sensing Wipers, Ventilated Seats",ContactCars Mini Showroom,Available for Order,1-2 weeks
Mini,Unknown Model,2024,"$24,204",0 km,Electric,CVT,67 kWh Battery,Orange,https://www.contactcars.com/en/new-cars/mini/unknown-model-2024,"Brand new 2024 Mini Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Electronic Stability Control, Adaptive Cruise Control, 360-Degree Camera, Rear Cross Traffic Alert, Blind Spot Monitoring, Lane Departure Warning, Premium Sound System, Wi-Fi Hotspot, Gesture Control, Ambient Lighting, Apple CarPlay, Digital Instrument Cluster, Wireless Charging, Satellite Navigation, Wireless Smartphone Integration, Dual-Zone Climate, Memory Seats, Keyless Entry, Ventilated Seats, Power Windows, Heated Seats, Auto-Dimming Mirrors","Electronic Stability Control, Adaptive Cruise Control, 360-Degree Camera, Rear Cross Traffic Alert, Blind Spot Monitoring, Lane Departure Warning","Premium Sound System, Wi-Fi Hotspot, Gesture Control, Ambient Lighting, Apple CarPlay, Digital Instrument Cluster, Wireless Charging, Satellite Navigation, Wireless Smartphone Integration","Dual-Zone Climate, Memory Seats, Keyless Entry, Ventilated Seats, Power Windows, Heated Seats, Auto-Dimming Mirrors",ContactCars Mini Showroom,Available for Order,1-2 weeks
BMW,X5,2024,"$136,227",0 km,Diesel,CVT,5.5L,Orange,https://www.contactcars.com/en/new-cars/bmw/x5-2024,"Brand new 2024 BMW X5. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Adaptive Cruise Control, Electronic Stability Control, Parking Sensors, Automatic Emergency Braking, Rear Cross Traffic Alert, Traction Control, Blind Spot Monitoring, Ambient Lighting, Digital Instrument Cluster, Wi-Fi Hotspot, Wireless Smartphone Integration, Panoramic Sunroof, Wireless Charging, Satellite Navigation, Ventilated Seats, Heated Seats, Power Mirrors, Power Seats, Push-Button Start, Memory Seats","Adaptive Cruise Control, Electronic Stability Control, Parking Sensors, Automatic Emergency Braking, Rear Cross Traffic Alert, Traction Control, Blind Spot Monitoring","Ambient Lighting, Digital Instrument Cluster, Wi-Fi Hotspot, Wireless Smartphone Integration, Panoramic Sunroof, Wireless Charging, Satellite Navigation","Ventilated Seats, Heated Seats, Power Mirrors, Power Seats, Push-Button Start, Memory Seats",ContactCars BMW Showroom,Available for Order,4-8 weeks
Peugeot,Unknown Model,2024,"$27,009",0 km,Gasoline,Semi-Automatic,5.8L,Orange,https://www.contactcars.com/en/new-cars/peugeot/unknown-model-2024,"Brand new 2024 Peugeot Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Rear Cross Traffic Alert, Electronic Stability Control, Traction Control, Wi-Fi Hotspot, Premium Sound System, Voice Recognition, Digital Instrument Cluster, Gesture Control, Heated Steering Wheel, Power Windows, Keyless Entry, Power Seats, Climate Control, Heated Seats","Rear Cross Traffic Alert, Electronic Stability Control, Traction Control","Wi-Fi Hotspot, Premium Sound System, Voice Recognition, Digital Instrument Cluster, Gesture Control","Heated Steering Wheel, Power Windows, Keyless Entry, Power Seats, Climate Control, Heated Seats",ContactCars Peugeot Showroom,Coming Soon,2-4 weeks
Citroen,Unknown Model,2024,"$96,197",0 km,Diesel,Dual-Clutch,4.9L,Yellow,https://www.contactcars.com/en/new-cars/citroen/unknown-model-2024,"Brand new 2024 Citroen Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Anti-lock Braking System, Rear Cross Traffic Alert, 360-Degree Camera, Digital Instrument Cluster, Gesture Control, Bluetooth Connectivity, Apple CarPlay, Head-Up Display, Android Auto, USB-C Ports, Ventilated Seats, Dual-Zone Climate, Power Seats, Rain-Sensing Wipers","Anti-lock Braking System, Rear Cross Traffic Alert, 360-Degree Camera","Digital Instrument Cluster, Gesture Control, Bluetooth Connectivity, Apple CarPlay, Head-Up Display, Android Auto, USB-C Ports","Ventilated Seats, Dual-Zone Climate, Power Seats, Rain-Sensing Wipers",ContactCars Citroen Showroom,Available for Order,2-4 weeks
Acura,Unknown Model,2024,"$68,220",0 km,Hybrid,Manual,1.0L,Purple,https://www.contactcars.com/en/new-cars/acura/unknown-model-2024,"Brand new 2024 Acura Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Rear Cross Traffic Alert, Tire Pressure Monitoring, Blind Spot Monitoring, Automatic Emergency Braking, Lane Departure Warning, Adaptive Cruise Control, Forward Collision Warning, Anti-lock Braking System, Wireless Smartphone Integration, Android Auto, Ambient Lighting, Apple CarPlay, Satellite Navigation, Premium Sound System, USB-C Ports, Panoramic Sunroof, Voice Recognition, Auto-Dimming Mirrors, Climate Control, Remote Start, Power Mirrors, Push-Button Start, Rain-Sensing Wipers, Power Windows","Rear Cross Traffic Alert, Tire Pressure Monitoring, Blind Spot Monitoring, Automatic Emergency Braking, Lane Departure Warning, Adaptive Cruise Control, Forward Collision Warning, Anti-lock Braking System","Wireless Smartphone Integration, Android Auto, Ambient Lighting, Apple CarPlay, Satellite Navigation, Premium Sound System, USB-C Ports, Panoramic Sunroof, Voice Recognition","Auto-Dimming Mirrors, Climate Control, Remote Start, Power Mirrors, Push-Button Start, Rain-Sensing Wipers, Power Windows",ContactCars Acura Showroom,Coming Soon,1-2 weeks
Dodge,Unknown Model,2024,"$98,115",0 km,Plug-in Hybrid,Dual-Clutch,4.9L,Green,https://www.contactcars.com/en/new-cars/dodge/unknown-model-2024,"Brand new 2024 Dodge Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Adaptive Cruise Control, Lane Departure Warning, Rear Cross Traffic Alert, Blind Spot Monitoring, Wi-Fi Hotspot, Ambient Lighting, Head-Up Display, Satellite Navigation, Wireless Smartphone Integration, USB-C Ports, Gesture Control, Power Mirrors, Power Seats, Auto-Dimming Mirrors, Push-Button Start, Dual-Zone Climate, Climate Control, Keyless Entry, Rain-Sensing Wipers","Adaptive Cruise Control, Lane Departure Warning, Rear Cross Traffic Alert, Blind Spot Monitoring","Wi-Fi Hotspot, Ambient Lighting, Head-Up Display, Satellite Navigation, Wireless Smartphone Integration, USB-C Ports, Gesture Control","Power Mirrors, Power Seats, Auto-Dimming Mirrors, Push-Button Start, Dual-Zone Climate, Climate Control, Keyless Entry, Rain-Sensing Wipers",ContactCars Dodge Showroom,Available for Order,2-4 weeks
Ram,Unknown Model,2024,"$87,167",0 km,Gasoline,Automatic,5.8L,Yellow,https://www.contactcars.com/en/new-cars/ram/unknown-model-2024,"Brand new 2024 Ram Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Parking Sensors, 360-Degree Camera, Blind Spot Monitoring, Traction Control, USB-C Ports, Head-Up Display, Apple CarPlay, Ambient Lighting, Premium Sound System, Wireless Smartphone Integration, Rain-Sensing Wipers, Ventilated Seats, Heated Seats, Keyless Entry, Remote Start, Push-Button Start","Parking Sensors, 360-Degree Camera, Blind Spot Monitoring, Traction Control","USB-C Ports, Head-Up Display, Apple CarPlay, Ambient Lighting, Premium Sound System, Wireless Smartphone Integration","Rain-Sensing Wipers, Ventilated Seats, Heated Seats, Keyless Entry, Remote Start, Push-Button Start",ContactCars Ram Showroom,Coming Soon,2-4 weeks
Toyota,Yaris,2024,"$39,041",0 km,Hybrid,Automatic,3.6L,White,https://www.contactcars.com/en/new-cars/toyota/yaris-2024,"Brand new 2024 Toyota Yaris. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"360-Degree Camera, Parking Sensors, Anti-lock Braking System, Traction Control, Bluetooth Connectivity, Premium Sound System, Apple CarPlay, Satellite Navigation, Digital Instrument Cluster, Wireless Smartphone Integration, Ambient Lighting, Panoramic Sunroof, Wireless Charging, Head-Up Display, Rain-Sensing Wipers, Keyless Entry, Heated Steering Wheel, Climate Control","360-Degree Camera, Parking Sensors, Anti-lock Braking System, Traction Control","Bluetooth Connectivity, Premium Sound System, Apple CarPlay, Satellite Navigation, Digital Instrument Cluster, Wireless Smartphone Integration, Ambient Lighting, Panoramic Sunroof, Wireless Charging, Head-Up Display","Rain-Sensing Wipers, Keyless Entry, Heated Steering Wheel, Climate Control",ContactCars Toyota Showroom,Coming Soon,2-4 weeks
Acura,Unknown Model,2024,"$79,579",0 km,Hybrid,Semi-Automatic,3.5L,White,https://www.contactcars.com/en/new-cars/acura/unknown-model-2024,"Brand new 2024 Acura Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Parking Sensors, Anti-lock Braking System, Electronic Stability Control, Adaptive Cruise Control, Blind Spot Monitoring, Apple CarPlay, Satellite Navigation, Wireless Charging, USB-C Ports, Head-Up Display, Panoramic Sunroof, Wireless Smartphone Integration, Heated Steering Wheel, Dual-Zone Climate, Power Windows, Ventilated Seats, Climate Control, Remote Start, Auto-Dimming Mirrors, Keyless Entry","Parking Sensors, Anti-lock Braking System, Electronic Stability Control, Adaptive Cruise Control, Blind Spot Monitoring","Apple CarPlay, Satellite Navigation, Wireless Charging, USB-C Ports, Head-Up Display, Panoramic Sunroof, Wireless Smartphone Integration","Heated Steering Wheel, Dual-Zone Climate, Power Windows, Ventilated Seats, Climate Control, Remote Start, Auto-Dimming Mirrors, Keyless Entry",ContactCars Acura Showroom,In Stock,Immediate
Aston Martin,Unknown Model,2024,"$27,995",0 km,Hydrogen,Dual-Clutch,2.9L,Gray,https://www.contactcars.com/en/new-cars/aston-martin/unknown-model-2024,"Brand new 2024 Aston Martin Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Adaptive Cruise Control, Electronic Stability Control, Rear Cross Traffic Alert, 360-Degree Camera, Digital Instrument Cluster, Android Auto, Satellite Navigation, Ambient Lighting, Panoramic Sunroof, Premium Sound System, Wireless Charging, Wireless Smartphone Integration, Memory Seats, Climate Control, Dual-Zone Climate, Keyless Entry, Rain-Sensing Wipers, Push-Button Start, Power Mirrors","Adaptive Cruise Control, Electronic Stability Control, Rear Cross Traffic Alert, 360-Degree Camera","Digital Instrument Cluster, Android Auto, Satellite Navigation, Ambient Lighting, Panoramic Sunroof, Premium Sound System, Wireless Charging, Wireless Smartphone Integration","Memory Seats, Climate Control, Dual-Zone Climate, Keyless Entry, Rain-Sensing Wipers, Push-Button Start, Power Mirrors",ContactCars Aston Martin Showroom,In Stock,1-2 weeks
Cadillac,Unknown Model,2024,"$107,495",0 km,Plug-in Hybrid,CVT,5.4L,Red,https://www.contactcars.com/en/new-cars/cadillac/unknown-model-2024,"Brand new 2024 Cadillac Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Electronic Stability Control, Parking Sensors, Tire Pressure Monitoring, Automatic Emergency Braking, Traction Control, Adaptive Cruise Control, Lane Departure Warning, 360-Degree Camera, Android Auto, USB-C Ports, Wi-Fi Hotspot, Wireless Smartphone Integration, Panoramic Sunroof, Ambient Lighting, Bluetooth Connectivity, Satellite Navigation, Voice Recognition, Wireless Charging, Heated Seats, Remote Start, Auto-Dimming Mirrors, Power Windows","Electronic Stability Control, Parking Sensors, Tire Pressure Monitoring, Automatic Emergency Braking, Traction Control, Adaptive Cruise Control, Lane Departure Warning, 360-Degree Camera","Android Auto, USB-C Ports, Wi-Fi Hotspot, Wireless Smartphone Integration, Panoramic Sunroof, Ambient Lighting, Bluetooth Connectivity, Satellite Navigation, Voice Recognition, Wireless Charging","Heated Seats, Remote Start, Auto-Dimming Mirrors, Power Windows",ContactCars Cadillac Showroom,Available for Order,Immediate
