brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description
Mazda,Unknown Model,2012,"$-13,139","109,049 km",Plug-in Hybrid,Automatic,1.6L,Orange,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2012,Excellent condition 2012 Mazda Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2014,$0,"124,459 km",Plug-in Hybrid,Manual,1.1L,Silver,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2014,Excellent condition 2014 Suzuki Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2018,"$147,826","141,969 km",Hybrid,Manual,2.7L,Black,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2018,Excellent condition 2018 Lamborghini Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2023,"$32,422","36,786 km",Gasoline,Semi-Automatic,1.9L,Silver,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2023,Excellent condition 2023 Chrysler Unknown Model. Well maintained with full service history.
Mercedes-Benz,E-Class,2022,"$88,734","45,570 km",Plug-in Hybrid,CVT,6.0L,Red,https://www.contactcars.com/en/used-cars/mercedes-benz/e-class-2022,Excellent condition 2022 Mercedes-Benz E-Class. Well maintained with full service history.
Toyota,Prius,2011,"$-23,760","84,445 km",Diesel,Automatic,1.5L,Black,https://www.contactcars.com/en/used-cars/toyota/prius-2011,Excellent condition 2011 Toyota Prius. Well maintained with full service history.
Lexus,Unknown Model,2012,"$-11,161","28,047 km",Electric,Automatic,6.7L,White,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2012,Excellent condition 2012 Lexus Unknown Model. Well maintained with full service history.
Bentley,Unknown Model,2019,"$98,679","58,851 km",Diesel,CVT,1.8L,Red,https://www.contactcars.com/en/used-cars/bentley/unknown-model-2019,Excellent condition 2019 Bentley Unknown Model. Well maintained with full service history.
Jaguar,Unknown Model,2017,"$15,937","12,967 km",Hybrid,CVT,2.8L,Red,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2017,Excellent condition 2017 Jaguar Unknown Model. Well maintained with full service history.
Mazda,Unknown Model,2018,"$18,905","97,220 km",Gasoline,CVT,3.0L,Green,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2018,Excellent condition 2018 Mazda Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2019,"$23,956","79,934 km",Gasoline,Automatic,3.6L,Gray,https://www.contactcars.com/en/used-cars/buick/unknown-model-2019,Excellent condition 2019 Buick Unknown Model. Well maintained with full service history.
Chevrolet,Tahoe,2021,"$52,319","56,464 km",Electric,Automatic,5.5L,Black,https://www.contactcars.com/en/used-cars/chevrolet/tahoe-2021,Excellent condition 2021 Chevrolet Tahoe. Well maintained with full service history.
Buick,Unknown Model,2018,"$30,161","145,732 km",Hybrid,Automatic,4.0L,Blue,https://www.contactcars.com/en/used-cars/buick/unknown-model-2018,Excellent condition 2018 Buick Unknown Model. Well maintained with full service history.
Citroen,Unknown Model,2013,"$-6,978","141,143 km",Plug-in Hybrid,Automatic,5.3L,Silver,https://www.contactcars.com/en/used-cars/citroen/unknown-model-2013,Excellent condition 2013 Citroen Unknown Model. Well maintained with full service history.
Mercedes-Benz,S-Class,2022,"$24,622","70,649 km",Plug-in Hybrid,Semi-Automatic,4.1L,Silver,https://www.contactcars.com/en/used-cars/mercedes-benz/s-class-2022,Excellent condition 2022 Mercedes-Benz S-Class. Well maintained with full service history.
Ferrari,Unknown Model,2024,"$235,530","54,296 km",Gasoline,CVT,5.5L,Yellow,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2024,Excellent condition 2024 Ferrari Unknown Model. Well maintained with full service history.
Smart,Unknown Model,2014,$0,"5,628 km",Diesel,Semi-Automatic,4.6L,Gray,https://www.contactcars.com/en/used-cars/smart/unknown-model-2014,Excellent condition 2014 Smart Unknown Model. Well maintained with full service history.
Scion,Unknown Model,2019,"$15,970","74,236 km",Diesel,CVT,3.0L,White,https://www.contactcars.com/en/used-cars/scion/unknown-model-2019,Excellent condition 2019 Scion Unknown Model. Well maintained with full service history.
Hummer,Unknown Model,2017,"$5,347","64,683 km",Gasoline,CVT,6.1L,Black,https://www.contactcars.com/en/used-cars/hummer/unknown-model-2017,Excellent condition 2017 Hummer Unknown Model. Well maintained with full service history.
Ford,Mustang,2015,"$4,747","4,221 km",Diesel,Automatic,5.7L,Gray,https://www.contactcars.com/en/used-cars/ford/mustang-2015,Excellent condition 2015 Ford Mustang. Well maintained with full service history.
Peugeot,Unknown Model,2017,"$6,260","38,957 km",Plug-in Hybrid,CVT,5.1L,Green,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2017,Excellent condition 2017 Peugeot Unknown Model. Well maintained with full service history.
Skoda,Unknown Model,2023,"$24,956","85,732 km",Plug-in Hybrid,Automatic,3.0L,Blue,https://www.contactcars.com/en/used-cars/skoda/unknown-model-2023,Excellent condition 2023 Skoda Unknown Model. Well maintained with full service history.
Alfa Romeo,Stelvio,2019,"$16,688","117,550 km",Plug-in Hybrid,CVT,5.3L,Green,https://www.contactcars.com/en/used-cars/alfa-romeo/stelvio-2019,Excellent condition 2019 Alfa Romeo Stelvio. Well maintained with full service history.
Toyota,Camry,2014,$0,"136,793 km",Gasoline,Semi-Automatic,3.6L,Yellow,https://www.contactcars.com/en/used-cars/toyota/camry-2014,Excellent condition 2014 Toyota Camry. Well maintained with full service history.
Lexus,Unknown Model,2023,"$23,987","62,949 km",Plug-in Hybrid,Semi-Automatic,1.5L,Yellow,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2023,Excellent condition 2023 Lexus Unknown Model. Well maintained with full service history.
Volvo,Unknown Model,2020,"$44,659","23,642 km",Plug-in Hybrid,Automatic,2.4L,Blue,https://www.contactcars.com/en/used-cars/volvo/unknown-model-2020,Excellent condition 2020 Volvo Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2017,"$16,002","124,560 km",Electric,Automatic,6.9L,Black,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2017,Excellent condition 2017 Suzuki Unknown Model. Well maintained with full service history.
Toyota,Prius,2021,"$13,048","65,281 km",Plug-in Hybrid,Manual,1.3L,Yellow,https://www.contactcars.com/en/used-cars/toyota/prius-2021,Excellent condition 2021 Toyota Prius. Well maintained with full service history.
Seat,Unknown Model,2020,"$40,231","11,523 km",Gasoline,CVT,2.6L,Yellow,https://www.contactcars.com/en/used-cars/seat/unknown-model-2020,Excellent condition 2020 Seat Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2021,"$48,050","51,719 km",Electric,Semi-Automatic,5.2L,Green,https://www.contactcars.com/en/used-cars/buick/unknown-model-2021,Excellent condition 2021 Buick Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2019,"$31,639","75,715 km",Plug-in Hybrid,CVT,6.6L,Red,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2019,Excellent condition 2019 Suzuki Unknown Model. Well maintained with full service history.
Subaru,Unknown Model,2020,"$10,145","142,505 km",Electric,Semi-Automatic,2.8L,Blue,https://www.contactcars.com/en/used-cars/subaru/unknown-model-2020,Excellent condition 2020 Subaru Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2020,"$27,708","148,681 km",Diesel,Automatic,3.4L,Black,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2020,Excellent condition 2020 Pontiac Unknown Model. Well maintained with full service history.
Hummer,Unknown Model,2010,"$-8,337","47,457 km",Gasoline,Manual,3.2L,Green,https://www.contactcars.com/en/used-cars/hummer/unknown-model-2010,Excellent condition 2010 Hummer Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2012,"$-10,965","11,612 km",Plug-in Hybrid,Automatic,5.9L,Silver,https://www.contactcars.com/en/used-cars/buick/unknown-model-2012,Excellent condition 2012 Buick Unknown Model. Well maintained with full service history.
Audi,Q7,2016,"$10,632","59,074 km",Electric,Automatic,6.7L,Red,https://www.contactcars.com/en/used-cars/audi/q7-2016,Excellent condition 2016 Audi Q7. Well maintained with full service history.
Saab,Unknown Model,2012,"$-12,955","38,847 km",Electric,Automatic,6.3L,Blue,https://www.contactcars.com/en/used-cars/saab/unknown-model-2012,Excellent condition 2012 Saab Unknown Model. Well maintained with full service history.
Audi,Q7,2023,"$30,863","143,579 km",Plug-in Hybrid,CVT,5.1L,White,https://www.contactcars.com/en/used-cars/audi/q7-2023,Excellent condition 2023 Audi Q7. Well maintained with full service history.
GMC,Unknown Model,2023,"$28,028","125,123 km",Electric,Manual,4.9L,Blue,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2023,Excellent condition 2023 GMC Unknown Model. Well maintained with full service history.
Acura,Unknown Model,2017,"$17,540","76,312 km",Diesel,CVT,2.2L,Green,https://www.contactcars.com/en/used-cars/acura/unknown-model-2017,Excellent condition 2017 Acura Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2022,"$39,641","78,152 km",Diesel,Semi-Automatic,4.9L,Red,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2022,Excellent condition 2022 Pontiac Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2012,"$-3,044","86,254 km",Plug-in Hybrid,Automatic,2.3L,Gray,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2012,Excellent condition 2012 Suzuki Unknown Model. Well maintained with full service history.
Rolls-Royce,Unknown Model,2017,"$130,611","81,827 km",Electric,CVT,4.0L,Orange,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2017,Excellent condition 2017 Rolls-Royce Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2018,"$13,759","138,784 km",Plug-in Hybrid,Manual,2.6L,White,https://www.contactcars.com/en/used-cars/opel/unknown-model-2018,Excellent condition 2018 Opel Unknown Model. Well maintained with full service history.
Volkswagen,Golf,2022,"$48,021","87,854 km",Diesel,Semi-Automatic,4.0L,Green,https://www.contactcars.com/en/used-cars/volkswagen/golf-2022,Excellent condition 2022 Volkswagen Golf. Well maintained with full service history.
Chrysler,Unknown Model,2022,"$50,656","2,521 km",Diesel,Automatic,6.5L,Red,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2022,Excellent condition 2022 Chrysler Unknown Model. Well maintained with full service history.
Mitsubishi,Unknown Model,2021,"$48,393","141,682 km",Hybrid,Semi-Automatic,6.8L,Silver,https://www.contactcars.com/en/used-cars/mitsubishi/unknown-model-2021,Excellent condition 2021 Mitsubishi Unknown Model. Well maintained with full service history.
Jeep,Unknown Model,2018,"$26,637","117,639 km",Hybrid,Manual,1.7L,Red,https://www.contactcars.com/en/used-cars/jeep/unknown-model-2018,Excellent condition 2018 Jeep Unknown Model. Well maintained with full service history.
Scion,Unknown Model,2016,"$9,381","85,191 km",Diesel,Automatic,1.9L,Green,https://www.contactcars.com/en/used-cars/scion/unknown-model-2016,Excellent condition 2016 Scion Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2012,"$-6,861","9,363 km",Gasoline,Automatic,1.0L,Gray,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2012,Excellent condition 2012 Maserati Unknown Model. Well maintained with full service history.
Saturn,Unknown Model,2012,"$-11,349","30,201 km",Diesel,CVT,4.1L,Gray,https://www.contactcars.com/en/used-cars/saturn/unknown-model-2012,Excellent condition 2012 Saturn Unknown Model. Well maintained with full service history.
Jaguar,Unknown Model,2018,"$26,957","14,737 km",Gasoline,CVT,3.0L,White,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2018,Excellent condition 2018 Jaguar Unknown Model. Well maintained with full service history.
Lexus,Unknown Model,2016,"$3,363","68,298 km",Plug-in Hybrid,Automatic,3.3L,Silver,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2016,Excellent condition 2016 Lexus Unknown Model. Well maintained with full service history.
Volkswagen,Touareg,2016,"$9,633","35,844 km",Diesel,CVT,6.8L,Blue,https://www.contactcars.com/en/used-cars/volkswagen/touareg-2016,Excellent condition 2016 Volkswagen Touareg. Well maintained with full service history.
Peugeot,Unknown Model,2024,"$34,140","50,672 km",Diesel,CVT,6.0L,Green,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2024,Excellent condition 2024 Peugeot Unknown Model. Well maintained with full service history.
Kia,Unknown Model,2020,"$46,609","135,885 km",Electric,Automatic,2.1L,Orange,https://www.contactcars.com/en/used-cars/kia/unknown-model-2020,Excellent condition 2020 Kia Unknown Model. Well maintained with full service history.
GMC,Unknown Model,2016,"$10,102","133,711 km",Gasoline,Automatic,2.6L,Orange,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2016,Excellent condition 2016 GMC Unknown Model. Well maintained with full service history.
Volkswagen,Tiguan,2011,"$-17,665","68,734 km",Gasoline,Automatic,6.7L,Red,https://www.contactcars.com/en/used-cars/volkswagen/tiguan-2011,Excellent condition 2011 Volkswagen Tiguan. Well maintained with full service history.
Lotus,Unknown Model,2014,$0,"16,289 km",Electric,CVT,3.2L,Orange,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2014,Excellent condition 2014 Lotus Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2018,"$30,223","58,234 km",Electric,Manual,5.7L,Green,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2018,Excellent condition 2018 Maybach Unknown Model. Well maintained with full service history.
Bentley,Unknown Model,2023,"$155,430","122,551 km",Electric,CVT,3.0L,Red,https://www.contactcars.com/en/used-cars/bentley/unknown-model-2023,Excellent condition 2023 Bentley Unknown Model. Well maintained with full service history.
Chevrolet,Tahoe,2018,"$25,157","74,776 km",Electric,Automatic,6.8L,Silver,https://www.contactcars.com/en/used-cars/chevrolet/tahoe-2018,Excellent condition 2018 Chevrolet Tahoe. Well maintained with full service history.
Renault,Unknown Model,2010,"$-30,181","20,753 km",Hybrid,Manual,3.3L,White,https://www.contactcars.com/en/used-cars/renault/unknown-model-2010,Excellent condition 2010 Renault Unknown Model. Well maintained with full service history.
BMW,X5,2020,"$63,444","82,453 km",Plug-in Hybrid,CVT,4.4L,Gray,https://www.contactcars.com/en/used-cars/bmw/x5-2020,Excellent condition 2020 BMW X5. Well maintained with full service history.
Jaguar,Unknown Model,2010,"$-7,843","77,220 km",Plug-in Hybrid,Semi-Automatic,6.8L,Gray,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2010,Excellent condition 2010 Jaguar Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2010,"$-30,680","7,470 km",Electric,Automatic,5.9L,Yellow,https://www.contactcars.com/en/used-cars/mini/unknown-model-2010,Excellent condition 2010 Mini Unknown Model. Well maintained with full service history.
Fiat,Unknown Model,2019,"$34,027","87,742 km",Diesel,Automatic,1.3L,Yellow,https://www.contactcars.com/en/used-cars/fiat/unknown-model-2019,Excellent condition 2019 Fiat Unknown Model. Well maintained with full service history.
Chevrolet,Tahoe,2017,"$17,069","10,446 km",Diesel,CVT,1.1L,Yellow,https://www.contactcars.com/en/used-cars/chevrolet/tahoe-2017,Excellent condition 2017 Chevrolet Tahoe. Well maintained with full service history.
Toyota,Prius,2016,"$4,812","113,319 km",Hybrid,Semi-Automatic,5.2L,Green,https://www.contactcars.com/en/used-cars/toyota/prius-2016,Excellent condition 2016 Toyota Prius. Well maintained with full service history.
Pontiac,Unknown Model,2019,"$31,421","149,780 km",Gasoline,Automatic,5.8L,Blue,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2019,Excellent condition 2019 Pontiac Unknown Model. Well maintained with full service history.
Hummer,Unknown Model,2020,"$33,274","115,214 km",Hybrid,Automatic,3.8L,Red,https://www.contactcars.com/en/used-cars/hummer/unknown-model-2020,Excellent condition 2020 Hummer Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2024,"$35,843","137,242 km",Gasoline,Automatic,2.2L,Yellow,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2024,Excellent condition 2024 Maybach Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2019,"$35,276","24,710 km",Plug-in Hybrid,Manual,2.9L,Gray,https://www.contactcars.com/en/used-cars/mini/unknown-model-2019,Excellent condition 2019 Mini Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2020,"$29,571","43,582 km",Plug-in Hybrid,Manual,6.2L,White,https://www.contactcars.com/en/used-cars/opel/unknown-model-2020,Excellent condition 2020 Opel Unknown Model. Well maintained with full service history.
Seat,Unknown Model,2020,"$16,147","106,607 km",Hybrid,Semi-Automatic,5.9L,Green,https://www.contactcars.com/en/used-cars/seat/unknown-model-2020,Excellent condition 2020 Seat Unknown Model. Well maintained with full service history.
Peugeot,Unknown Model,2013,"$-7,398","145,739 km",Plug-in Hybrid,CVT,5.5L,Blue,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2013,Excellent condition 2013 Peugeot Unknown Model. Well maintained with full service history.
Mazda,Unknown Model,2014,$0,"117,052 km",Gasoline,CVT,5.7L,White,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2014,Excellent condition 2014 Mazda Unknown Model. Well maintained with full service history.
Toyota,RAV4,2013,"$-2,305","56,468 km",Plug-in Hybrid,CVT,4.6L,Orange,https://www.contactcars.com/en/used-cars/toyota/rav4-2013,Excellent condition 2013 Toyota RAV4. Well maintained with full service history.
Audi,Q5,2021,"$48,871","59,468 km",Electric,Automatic,2.3L,Yellow,https://www.contactcars.com/en/used-cars/audi/q5-2021,Excellent condition 2021 Audi Q5. Well maintained with full service history.
Hyundai,Unknown Model,2021,"$16,291","138,395 km",Diesel,CVT,6.4L,Silver,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2021,Excellent condition 2021 Hyundai Unknown Model. Well maintained with full service history.
Porsche,Unknown Model,2010,"$-13,368","110,691 km",Diesel,Semi-Automatic,3.3L,Yellow,https://www.contactcars.com/en/used-cars/porsche/unknown-model-2010,Excellent condition 2010 Porsche Unknown Model. Well maintained with full service history.
Saturn,Unknown Model,2011,"$-5,184","61,452 km",Electric,CVT,5.0L,Black,https://www.contactcars.com/en/used-cars/saturn/unknown-model-2011,Excellent condition 2011 Saturn Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2017,"$23,083","65,918 km",Electric,Automatic,2.0L,Blue,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2017,Excellent condition 2017 Maybach Unknown Model. Well maintained with full service history.
Lexus,Unknown Model,2016,"$13,606","136,273 km",Plug-in Hybrid,Manual,1.9L,Gray,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2016,Excellent condition 2016 Lexus Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2010,"$-12,223","37,148 km",Diesel,CVT,2.3L,Gray,https://www.contactcars.com/en/used-cars/opel/unknown-model-2010,Excellent condition 2010 Opel Unknown Model. Well maintained with full service history.
Chevrolet,Cruze,2023,"$53,211","123,578 km",Gasoline,CVT,2.7L,Blue,https://www.contactcars.com/en/used-cars/chevrolet/cruze-2023,Excellent condition 2023 Chevrolet Cruze. Well maintained with full service history.
Saab,Unknown Model,2010,"$-11,072","5,022 km",Electric,Semi-Automatic,6.0L,Yellow,https://www.contactcars.com/en/used-cars/saab/unknown-model-2010,Excellent condition 2010 Saab Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2013,"$-6,363","20,612 km",Hybrid,CVT,4.7L,Silver,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2013,Excellent condition 2013 Infiniti Unknown Model. Well maintained with full service history.
GMC,Unknown Model,2011,"$-23,511","144,490 km",Diesel,Semi-Automatic,2.0L,Gray,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2011,Excellent condition 2011 GMC Unknown Model. Well maintained with full service history.
McLaren,Unknown Model,2013,"$-7,158","52,239 km",Diesel,Semi-Automatic,1.5L,Silver,https://www.contactcars.com/en/used-cars/mclaren/unknown-model-2013,Excellent condition 2013 McLaren Unknown Model. Well maintained with full service history.
Ford,F-150,2010,"$-17,692","95,105 km",Hybrid,CVT,6.1L,Yellow,https://www.contactcars.com/en/used-cars/ford/f-150-2010,Excellent condition 2010 Ford F-150. Well maintained with full service history.
Dodge,Unknown Model,2020,"$41,423","105,483 km",Hybrid,Semi-Automatic,2.4L,White,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2020,Excellent condition 2020 Dodge Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2014,$0,"27,748 km",Diesel,CVT,3.0L,Green,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2014,Excellent condition 2014 Maybach Unknown Model. Well maintained with full service history.
Ferrari,Unknown Model,2014,$0,"52,412 km",Diesel,CVT,5.9L,Orange,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2014,Excellent condition 2014 Ferrari Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2017,"$19,886","23,431 km",Hybrid,Semi-Automatic,5.7L,Orange,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2017,Excellent condition 2017 Maserati Unknown Model. Well maintained with full service history.
Jaguar,Unknown Model,2010,"$-9,876","38,351 km",Plug-in Hybrid,Automatic,5.7L,Black,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2010,Excellent condition 2010 Jaguar Unknown Model. Well maintained with full service history.
Mitsubishi,Unknown Model,2016,"$10,162","105,339 km",Plug-in Hybrid,Manual,5.4L,Yellow,https://www.contactcars.com/en/used-cars/mitsubishi/unknown-model-2016,Excellent condition 2016 Mitsubishi Unknown Model. Well maintained with full service history.
Peugeot,Unknown Model,2011,"$-23,244","100,099 km",Electric,Automatic,2.5L,Silver,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2011,Excellent condition 2011 Peugeot Unknown Model. Well maintained with full service history.
Citroen,Unknown Model,2021,"$53,463","119,355 km",Hybrid,Semi-Automatic,6.8L,Orange,https://www.contactcars.com/en/used-cars/citroen/unknown-model-2021,Excellent condition 2021 Citroen Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2015,"$2,210","48,358 km",Hybrid,Manual,2.7L,Yellow,https://www.contactcars.com/en/used-cars/opel/unknown-model-2015,Excellent condition 2015 Opel Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2018,"$27,750","56,459 km",Diesel,Manual,6.2L,Black,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2018,Excellent condition 2018 Suzuki Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2024,"$49,039","103,244 km",Plug-in Hybrid,Automatic,6.3L,Gray,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2024,Excellent condition 2024 Maserati Unknown Model. Well maintained with full service history.
Ford,Explorer,2014,$0,"9,128 km",Gasoline,Manual,5.1L,Yellow,https://www.contactcars.com/en/used-cars/ford/explorer-2014,Excellent condition 2014 Ford Explorer. Well maintained with full service history.
Peugeot,Unknown Model,2016,"$9,833","1,708 km",Plug-in Hybrid,Semi-Automatic,6.3L,Black,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2016,Excellent condition 2016 Peugeot Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2020,"$24,896","18,293 km",Plug-in Hybrid,CVT,4.4L,Gray,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2020,Excellent condition 2020 Maserati Unknown Model. Well maintained with full service history.
Hyundai,Unknown Model,2010,"$-14,013","44,876 km",Electric,CVT,4.9L,Red,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2010,Excellent condition 2010 Hyundai Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2011,"$-52,376","2,679 km",Electric,Semi-Automatic,5.2L,Silver,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2011,Excellent condition 2011 Lamborghini Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2020,"$43,763","130,790 km",Diesel,Manual,5.7L,Red,https://www.contactcars.com/en/used-cars/buick/unknown-model-2020,Excellent condition 2020 Buick Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2018,"$95,553","97,083 km",Electric,Manual,1.7L,White,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2018,Excellent condition 2018 Lamborghini Unknown Model. Well maintained with full service history.
